Product name;Price
Avene Akerat 10 Body Cream 200 Ml;165 AED
Avene Akerat 30 Cream For Localized Areas 100 Ml;125 AED
Avene Anti Redness Strong Concentrate Care 30ml;128 AED
Avene Antiredness Dermo-Cleansing Milk 300 Ml;137 AED
Avene Cicalfate Drying Repair Lotion 40 Ml;95 AED
Avene Cicalfate Skin Repair Emulsion 40 Ml;96 AED
Avene Cleanance Cleansing Gel 200 Ml;125 AED
Avene Cleanance Hydra Soothing Cream 40 Ml;126 AED
Avene Cleanance Micellar Water 400 Ml;116 AED
Avene Cold Cream 40 Ml;115 AED
Avene Cold Cream Hand Cream;73 AED
Avene Cold Cream Lip Balm 4G;55 AED
Avene Cold Cream Lip Cream 15 Ml;68 AED
Avene Cold Cream Nourishing Cream 100Ml;116 AED
Avene Cold Cream Ultra-Rich Cleansing Bar 100G;68 AED
Avene Emulsion 50+ Tinted 50 Ml;132 AED
Avene Extremely Gentle Cleanser Lotion 200 Ml;132 AED
Avene Gentle Milk Cleanser 200 Ml;132 AED
Avene Gentle Purifying Scrub 50 Ml;133 AED
Avene Gentle Toning Lotion 200 Ml;132 AED
Avene High Protection Cleanance Spf 30;139 AED
Avene Hydrance Optimale Rich Hydrating Cream 40 Ml;99 AED
Avene Micellar Lotion And Make Up Remover 400 Ml;88 AED
Avene Moisturizing Self-Tanning Lotion;158 AED
Avene Physiolift Day Creme 30Ml;273 AED
Avene Physiolift Eye Cream 15Ml;225 AED
Avene Physiolift Night Cream 30 Ml;273 AED
Avene Physiolift Outsmart Time Regimen;642 AED
Avene Physiolift precision wrinkle filler 15ml;285 AED
Avene Rich Compensating Cream 50Ml;227 AED
Avene Skin Recovery Cream 50 Ml;142 AED
Avene Soothing Eye Contour Cream 10 Ml;137 AED
Avene Soothing Moisture Mask 50 Ml;137 AED
Avene Thermal Spring Water 50Ml;37 AED
Avene Thermal Spring Water Spray 150 Ml;101 AED
Avene Thermal Spring Water Spray 300 Ml;126 AED
Avene Triacneal Expert 30 Ml;145 AED
Avene Trixera Cleanser Nutri Fluid 400 Ml;225 AED
Avene Trixera Emollient Balm 200 Ml;165 AED
Avene Trixera Skin Care Nutrition Lotion 400 Ml;225 AED
Avene Very High Protection Lotion For Children 100Ml - Spf50+;142 AED
Avene Very High Protection Tinted Cream Spf 50+ 50 Ml;160 AED
Avene Xeracalm A.D Lipid-Replenishing Cream 200 Ml;184 AED
Avene Thermal Spring Water 150mL;58 AED
Avene Gentle Toning Lotion 200mL;88 AED
Avene Rich Compensating Cream 50mL;151 AED
Avene Gentle Exfoliating Gel 75mL;88 AED
Avene Skin Recovery Cream 50mL;94 AED
Avene Extremely Gentle Cleanser Lotion 200mL;251 AED
Avene Akérat 10 Body Cream 200mL;98 AED
Avene Very High Protection Cream SPF 50+ 50ml;92 AED
Avene Very High Protection Tinted Cream SPF 50+ 50mL;92 AED
Avene Cleanance Cleansing Gel 200mL;80 AED
Avene Hydrance LIGHT Hydrating Emulsion 40mL;132 AED
Avene Hydrance Optimal Light UV Hydrating Cream SPF20 40mL;94 AED
Avene Hydrance UV RICH Hydrating cream SPF20 40mL;94 AED
Avene Thermal Spring Water 300mL;72 AED
Avene Cleanance Sunscreen SPF 50 50mL;92 AED
Avene Soothing Moisture Mask 50mL;91 AED
Avene Gentle Milk Cleanser 200mL;88 AED
Avene Soothing Eye Contour Cream 10mL;91 AED
Avene Cold Cream Concentrated Hand Cream 50mL;48 AED
Avene Akerat 30 Cream for Localized Areas 100mL;114 AED
Avene TriXera Nutrition Nutri-Fluid Balm 200mL;105 AED
Avene TriXera Nutrition Nutri-Fluid Cleansing Gel 400mL;136 AED
Avene TriXera Nutrition Nutri-Fluid Lotion 400mL;147 AED
Avene XeraCalm A.D Lipid Replenishing Cream 200mL;122 AED
Avene Xeracalm A.D Cleansing Oil 400mL;108 AED
Avene Moisturizing Self-Tanner Silky Gel 100mL;105 AED
Avene Antirougeurs Day Redness Relief Moisturizing Protecting Emulsion 40mL;91 AED
Avene Antirougeurs Fort Relief Concentrate for Chronic Redness 30mL;84 AED
Avene Antirougeurs Redness-Relief Dermo-Cleansing Milk 300mL;91 AED
Avene Cicalfate Drying Repair Lotion 40mL;59 AED
Avene Meso-Mask 50mL;203 AED
Avene Optim Eyes Contour 15mL;199 AED
Avene Neocica 20mL;161 AED
Avene Foam Cleanser 100mL;94 AED
Avene Time Filler 50mL;276 AED
Avene Hydra Filler 50mL;210 AED
Avene UV-DEFENCE SPF 50;168 AED
Avene PIGMENT PERFECT 30ML;230 AED
Avene Time Filler Mat 50mL;276 AED
Avene C Recover 3x10mL;315 AED
Avene Time Filler Eyes;210 AED
Avene Anti-Ageing Micellar Solution 400mL;91 AED
Avene Scrub & Mask O2 Gel 55mL;161 AED
Avene Hydra Hyal Serum 30mL;189 AED
Avene Optim Eyes Lotion 110mL;98 AED
Avene NCTF-Intensive 30mL;346 AED
Avene NCTF-Reverse 50mL;346 AED
Avene NCTF-Essence 150mL;210 AED
Avene NCTF-Reverse Mat 50mL;346 AED
Avene UV-Bronze Mist SPF50 60mL;133 AED
Avene Nutri-Filler Lips 4g;98 AED
Avene UV-Bronze Face SPF50+ 40mL;112 AED
Avene Pigment White 50mL;276 AED
Avene Oil-Absolute 30mL;360 AED
Avene Time Zero 30mL;276 AED
Avene Creme Universelle 100mL;129 AED
Avene Lift Designer 30mL;276 AED
Avene Time Flash;154 AED
Avene Oxygen Peel 150mL;129 AED
Avene Optim Eyes Lashes & Brows 13mL;192 AED
Avene Cicalfate Post-Procedure Skin Repair Emulsion 40mL;62 AED
Avene Cicalfate+ Cream 40mL;60 AED
Avene Cleanance Hydra Soothing Cream 40mL;84 AED
Avene TriAcnéal Expert Emulsion 30mL;96 AED
Avene Cleanance Micellar Water 400mL;77 AED
Avene Cleanance Expert 40mL;78 AED
Avene PhysioLift Day Smoothing Cream 30mL;182 AED
Avene PhysioLift Night Smoothing Night Balm 30mL;182 AED
Avene PhysioLift Eyes 15mL;154 AED
Avene PhysioLift Precision Wrinkle Filler 15mL;192 AED
Avene Very High Protection Spray for Children SPF 50+ 200mL;108 AED
Avene Hydrating Sunscreen Lotion SPF50 100mL;90 AED
Avene Very High Protection Cream SPF 50+ 50mL - Set of 2;132 AED
Avene Very High Protection Fluid SPF 50+ 50mL;92 AED
Avene Silky Mist SPF 30 150mL;79 AED
Avene Thermal Spring Water 50mL;24 AED
Avene B-Protect SPF 50+ 30mL;98 AED
Avene TriXera NUTRITION Cold Cream Ultra-Rich Cleansing Bar 100g;45 AED
Avene CLEANANCE COMEDOMED Anti-Blemish Concentrate 30mL;84 AED
Avene Hydrance Aqua-Gel Hydrating Aqua Cream-in-Gel 50mL;105 AED
Avene A-OXitive Smoothing Eye Contour Cream 15mL;157 AED
Avene A-Oxitive Peeling Cream 30mL;185 AED
Avene A-OXitive Smoothing Water-Cream 30mL;168 AED
Avene A-OXitive Antioxidant Defense Serum 30mL;192 AED
Avene Cicalfate LIPS - Repair Balm 10mL;45 AED
Avene Unifying Tinted Fluid SPF50+ 50mL;92 AED
Avene Réflexe Solaire SPF50+ 30mL;53 AED
Avene DermAbsolu Night Cream 40mL;192 AED
Avene DermAbsolu Day Cream 40mL;192 AED
Avene Mattifying Cleansing Foam 150mL;66 AED
Avene UV Bronze Body  SPF30 150mL;105 AED
Avene UV Bronze After Sun 200mL;105 AED
Avene Scrub & Peel 150mL;112 AED
Avene Flash Nude Fluid SPF30 30mL - 00 Nude Ivory;104 AED
Avene Flash Nude Fluid SPF30 30mL - 01 Beige Nude;182 AED
Avene Flash Nude Fluid SPF30 30mL - 02 Golden Nude;182 AED
Avene Flash Nude Powder Compact SPF30 9g;196 AED
Avene Pore Express 30mL;154 AED
Avene NCEF-Night Mask 50mL;251 AED
Avene Oxygen Glow 50mL;244 AED
Avene Oxygen Glow Eyes 15mL;168 AED
Avene Oxygen Glow Mask 75mL;224 AED
Avene NCEF-Reverse Eyes 15mL;244 AED
Avene Global Repair Cream 50mL;346 AED
Avene Global Repair Serum 30mL;346 AED
Avene Ultra-Lifting Mask - Sheet Masks (x12);470 AED
Avene Ultra-Lifting Mask - Sheet Masks (x6);235 AED
Avene Ultra-Lifting Mask - Sheet Masks (x3);117 AED
Avene Scrub & Detox 50mL;122 AED
